97|1|A|
97|2|A|
97|3|A|
97|4|A|
97|5|A|
97|6|A|
97|7|A|
97|8|A|
97|9|A|
97|11|A|
97|12|A|
97|13|A|
97|14|A|
97|15|A|
97|16|A|
97|17|A|
97|18|A|
97|19|A|
97|20|A|
97|21|A|
97|22|A|
97|23|A|
97|24|A|
97|25|A|
97|26|A|
97|27|A|
97|28|A|
97|29|A|
97|31|A|
97|32|A|
97|33|A|
97|34|A|
97|35|A|
97|36|A|
97|37|A|
97|38|A|
97|39|A|
97|40|A|
97|43|A|
97|44|A|
97|45|A|
97|46|A|
97|47|A|
97|48|A|
97|49|A|
97|50|A|
97|51|A|
97|52|A|
97|53|A|
97|54|A|
97|55|A|
97|56|A|
97|59|A|
97|60|A|
97|65|A|
97|66|A|
97|69|A|
97|70|A|
97|71|A|
97|75|A|
97|85|A|
97|86|A|
97|88|A|
97|93|A|
97|94|A|
